Name,CMP,PE,Market Cap,Dividend Yield,Net Profit Last Quarter,Quaterly Profit Growth,Sales Latest Quarter,Quaterly Sales Growth,Return on Campital Employment
KPIT Technologi.,1356.95,51.24,37199.94,0.49,203.75,45.30,1471.41,22.70,38.36
Relaxo Footwear,678.00,93.22,16878.04,0.44,36.73,-16.88,679.37,-5.03,13.86
Bata India,1307.35,48.33,16803.05,0.92,51.98,-11.42,837.14,2.20,18.66
Campus Activewe.,274.60,86.17,8386.24,0.00,14.30,4368.75,333.29,28.85,16.71
Mayur Uniquoters,596.60,19.09,2622.21,0.50,41.43,46.03,216.36,19.15,18.75
Bhartiya Intl.,723.05,2153.17,882.80,0.00,7.67,37.46,295.91,29.98,6.61
Liberty Shoes,482.60,51.59,822.35,0.00,0.92,-4.83,171.80,0.01,9.45
Khadim India,369.40,116.45,678.90,0.00,2.33,30.17,160.58,2.22,7.82
Mirza Internatio,38.94,44.37,538.16,0.00,5.90,47.13,201.39,-3.50,4.87
Lehar Footwears,218.25,65.40,385.84,0.23,1.27,-37.13,37.65,-32.27,9.23
Container Corpn.,785.65,36.93,47869.21,1.46,366.26,6.28,2287.75,4.23,13.93
Metro Brands,1128.95,74.11,30701.69,0.44,71.77,4.29,585.45,5.35,19.66
Delhivery,330.55,778.47,24490.51,0.00,10.20,109.91,2189.73,12.77,-1.73
Blue Dart Expres,7657.60,64.23,18171.48,0.33,62.84,-13.99,1448.46,9.36,19.22
Transport Corp.,1165.90,23.83,9079.59,0.81,107.30,22.30,1120.80,12.81,19.92
TVS Supply,179.92,266.94,7928.02,0.00,10.61,132.26,2512.88,11.05,4.74
Zinka Logistics,,,4817.81,,28.67,120.41,92.17,54.99,-30.95
VRL Logistics,515.35,53.38,4507.69,0.97,35.82,83.04,799.48,12.71,10.70
Gateway Distri,84.10,18.41,4202.00,2.38,70.43,-4.85,383.71,-1.43,12.48
Sindhu Trade,22.24,19.14,3429.25,0.00,116.54,131.87,369.55,-6.90,6.12
TCI Express,847.70,28.74,3253.47,0.94,26.32,-26.03,311.48,-2.66,26.51
Allcargo Logist.,54.03,153.84,5309.97,2.04,37.74,47.16,4301.09,30.07,3.32
Mahindra Logis.,391.75,,2822.57,0.64,-9.61,38.44,1521.10,11.46,3.03
Navkar Corporat.,127.02,,1911.89,0.00,-2.30,-161.14,133.12,40.75,1.51
Rel. Indl. Infra,1025.05,148.54,1547.83,0.34,2.43,-2.02,12.24,-14.76,3.86
Western Carriers,119.10,15.12,1214.29,0.00,18.96,3.61,431.43,1.31,21.90
D B Corp,293.45,11.70,5228.48,4.43,82.57,-17.64,558.95,-4.62,25.12
Jagran Prakashan,85.60,11.49,1863.12,5.84,41.65,0.31,446.51,-2.66,9.13
Sandesh,1631.70,5.66,1235.20,0.31,38.09,46.28,69.95,-2.85,20.87
T.V. Today Netw.,189.13,10.90,1128.51,4.49,8.27,17.81,206.77,-3.32,9.68
Coal India,409.75,7.02,252517.79,6.22,6274.80,-22.04,30672.88,-6.42,63.59
Vedanta,433.40,16.38,169476.22,8.08,5603.00,522.41,37634.00,-3.37,20.91
NMDC,218.80,10.22,64121.66,3.31,1205.30,17.47,4918.91,22.54,30.91
Lloyds Metals,924.25,32.93,48320.87,0.11,301.44,30.35,1364.43,25.03,78.27
KIOCL,363.25,,22076.56,0.00,-69.21,-223.56,16.14,-96.26,-2.18
G M D C,330.65,16.54,10514.67,2.89,127.86,71.44,593.01,54.94,13.78
Netwrk.18 Media,84.82,,8880.22,0.00,-152.31,-15.36,1825.18,-2.16,-0.28
Sandur Manganese,444.30,20.55,7199.21,0.23,32.12,21.90,260.25,40.82,15.16
MOIL,296.75,17.37,6038.42,2.04,49.96,-18.79,291.89,-16.01,16.11
Orissa Minerals,7467.65,286.30,4480.59,0.00,-2.08,86.05,13.87,307.94,14.93
Ashapura Minech.,253.82,16.19,2424.64,0.00,42.63,-13.76,604.10,9.03,17.26
Owais Metal,1203.75,65.53,2188.71,0.00,24.72,,105.13,248.11,52.14
Dec.Gold Mines,122.15,,1880.55,0.00,-68.21,-1359.64,3.65,5983.33,-8.77
20 Microns,228.35,13.57,805.77,0.55,16.45,-4.25,240.18,20.27,21.70
Vishnusurya,271.95,25.09,669.26,0.37,21.82,,139.13,37.41,34.46
Asi Industries,42.02,14.07,378.49,0.83,0.50,130.49,23.31,30.30,10.14
SJVN,103.77,44.09,40779.48,1.73,439.90,0.06,1026.25,16.84,4.99
Godrej Agrovet,730.10,38.19,14037.01,1.37,95.79,-7.83,2448.75,-4.75,13.71
Sagility India,28.51,58.62,13346.47,0.00,22.29,-47.55,1223.33,9.61,4.71
Rites,272.90,32.93,13115.68,4.21,82.50,-27.85,540.86,-7.13,25.36
Thomas Cook (I),197.46,33.56,9298.27,0.20,71.96,37.83,2003.76,8.70,19.07
RattanIndia Ent,61.50,11.87,8500.96,0.00,-241.59,-227.06,1800.62,11.52,2.89
CMS Info Systems,481.65,21.82,7859.72,1.19,90.92,7.78,624.54,14.86,26.95
Equinox India,117.96,,7507.81,0.00,24.27,231.98,245.97,155.26,-10.94
Guj. Ambuja Exp,121.47,16.47,5571.47,0.29,69.53,-16.22,1124.64,0.80,16.51
SIS,383.25,34.90,5524.87,0.00,68.81,-8.59,3268.81,6.35,10.34
GMR Airports Inf,76.81,,81103.49,0.00,-428.77,-318.52,2495.46,20.93,6.41
Inox Green,150.34,187.34,5476.26,0.00,6.06,79.88,55.18,16.44,3.67
AWFIS Space,714.05,399.80,5013.48,0.00,38.67,437.01,292.38,40.47,9.18
Rain Industries,148.99,,5011.28,0.67,-154.94,-135.65,3934.28,-5.43,1.90
Team Lease Serv.,2732.95,46.22,4582.86,0.00,24.85,-9.86,2796.83,23.07,13.06
Hindalco Inds.,627.35,10.80,140979.13,0.56,3909.00,96.22,58203.00,7.45,11.29
Natl. Aluminium,219.87,14.16,40382.02,2.27,1062.18,414.97,4001.48,31.48,16.95
Hindustan Copper,262.70,63.13,25403.72,0.35,101.68,67.21,518.19,35.87,17.99
Gravita India,2098.20,53.95,14485.54,0.25,71.92,24.30,927.42,10.91,27.86
Shivalik Bimetal,600.25,43.01,3457.69,0.28,19.94,-1.97,126.65,-0.87,32.84
Prec. Wires (I),171.95,37.71,3072.02,0.61,19.27,17.86,1043.79,25.84,25.35
Ram Ratna Wires,592.10,43.61,2605.24,0.42,16.80,22.27,939.80,24.14,17.37
Pondy Oxides,864.50,39.69,2252.05,0.29,17.39,112.85,572.43,45.73,16.50
MMP Industries,330.45,23.25,839.43,0.45,5.83,24.84,144.83,14.88,13.45
Maan Aluminium,146.95,30.58,794.78,0.00,3.39,-66.60,176.78,-14.75,24.94
Hindustan Zinc,495.35,23.79,209301.18,5.85,2298.00,35.80,8242.00,21.35,46.25
NILE,2116.90,17.40,635.07,0.19,9.27,12.77,251.57,0.34,19.47
Arfin India,35.01,60.52,590.70,0.00,2.58,48.28,149.11,11.09,13.59
POCL Enterprises,180.65,18.21,503.65,0.28,9.62,190.63,372.93,9.97,24.18
Shera Energy,205.05,36.30,467.28,0.00,9.67,48.69,601.37,56.67,20.07
Inox India,1176.90,54.84,10681.96,0.00,49.49,7.01,306.56,18.98,43.06
Garware Hi Tech,4275.80,32.43,9933.71,0.23,104.26,127.10,620.58,56.27,13.96
EPL Ltd,266.70,29.37,8496.86,1.67,88.30,72.28,1086.20,8.45,15.09
AGI Greenpac,923.15,22.37,5972.54,0.65,72.08,28.39,599.18,-2.55,17.73
Uflex,558.80,26.35,4035.09,0.18,-64.58,-108.72,3833.38,13.77,6.50
Polyplex Corpn,1194.55,24.30,3749.99,0.75,164.11,214.39,1738.86,10.61,1.81
TCPL Packaging,3178.85,24.58,2892.75,0.69,35.81,24.47,438.51,12.21,20.07
XPRO India,1095.35,49.99,2428.98,0.18,9.94,4.85,133.98,21.83,16.98
Mold-Tek Pack.,662.75,35.06,2202.25,0.45,14.11,-10.07,191.30,12.26,14.50
Cropster Agro,24.50,130.17,2058.00,0.00,3.11,298.72,47.51,241.55,64.54
Dolphin Offshore,533.45,97.85,2134.04,0.00,12.92,266.01,16.73,716.10,0.97
Cosmo First,777.40,19.73,2040.65,0.39,45.75,112.30,758.92,14.37,6.87
Huhtamaki India,268.60,23.10,2028.52,1.86,11.71,-66.84,652.50,-1.51,12.46
Everest Kanto,165.41,15.77,1856.03,0.42,38.60,46.55,367.28,22.72,11.85
Ester Industries,144.28,,1356.84,0.00,3.02,109.92,331.16,26.70,-4.98
Shree Tirupati,940.00,91.30,952.22,0.00,7.09,,104.39,38.32,17.43
A B Real Estate,2599.45,185.95,29034.73,0.19,2.82,217.42,1127.56,30.67,8.31
JK Paper,397.20,8.64,6728.66,2.14,128.85,-57.50,1682.93,1.99,20.29
West Coast Paper,546.30,7.87,3608.31,1.46,100.57,-53.29,1044.82,-12.48,29.27
Andhra Paper,93.34,9.75,1856.07,2.14,41.72,-58.41,432.28,-10.32,24.66
Seshasayee Paper,290.00,10.05,1828.98,1.72,24.78,-64.14,398.40,9.97,20.24
Pudumjee Paper,128.65,9.65,1221.53,0.47,29.76,68.71,222.47,14.10,26.83
Pakka,296.25,22.58,1167.81,0.00,20.51,60.11,111.09,5.73,21.25
T N Newsprint,163.77,15.38,1133.45,2.44,2.59,-91.45,914.59,-4.55,14.32
Kuantum Papers,127.83,7.74,1115.49,2.35,29.90,-29.89,278.86,-6.48,19.79
Satia Industries,95.40,6.70,954.00,1.15,12.33,-74.28,340.12,-8.90,23.35
Asian Paints,2483.15,50.69,238183.20,1.34,693.66,-31.65,8027.54,-5.32,37.50
Orient Paper,37.04,,785.94,0.67,-19.66,-20.47,208.13,45.61,1.94
Emami Paper,99.96,6.96,604.76,1.60,7.59,-53.72,495.09,13.39,12.20
N R Agarwal Inds,338.45,9.79,576.01,0.59,8.34,-77.94,428.41,25.39,14.11
Genus Paper & Bo,20.77,191.42,534.05,0.00,-0.42,-110.14,211.09,8.82,4.34
B&B Triplewall,218.14,44.97,447.43,0.46,0.11,-97.82,120.51,26.37,10.97
Styrenix Perfor.,2374.20,19.37,4176.22,4.13,70.10,24.25,653.22,9.78,31.40
Savita Oil Tech,487.55,19.23,3368.99,0.82,31.81,-33.12,907.20,2.07,18.71
Sun Pharma.Inds.,1768.20,37.86,424250.41,0.76,3037.33,27.86,13291.39,9.01,17.32
Divi's Lab.,5750.10,83.14,152647.09,0.52,510.00,46.55,2338.00,22.47,16.48
Cipla,1499.75,26.30,121119.13,0.87,1305.01,15.18,7051.02,5.58,22.80
Torrent Pharma.,3102.40,60.33,104994.60,0.90,453.00,17.36,2889.00,8.61,23.16
Mankind Pharma,2597.65,51.92,104073.33,0.00,634.43,34.84,2529.74,11.91,24.57
Dr Reddy's Labs,1226.70,19.17,102353.97,0.65,1341.90,-15.28,8038.20,16.45,26.53
Zydus Lifesci.,957.40,22.52,96336.84,0.31,920.20,13.62,5237.00,19.87,22.34
Lupin,2015.85,35.01,91962.05,0.40,859.48,74.12,5672.73,12.59,15.72
Supreme Petroch.,688.65,31.47,12949.47,1.31,90.34,15.73,1505.56,17.84,22.46
Aurobindo Pharma,1249.00,20.08,73183.73,0.36,816.95,8.65,7796.07,7.99,14.10
Alkem Lab,5524.95,30.39,66059.06,0.72,701.96,4.59,3414.67,-0.74,19.68
Abbott India,27351.20,45.24,58121.30,1.50,358.61,14.59,1632.67,9.27,46.02
Glenmark Pharma.,1533.70,,43279.20,0.16,354.48,297.23,3433.80,7.06,12.34
Glaxosmi. Pharma,2457.15,51.91,41625.60,1.30,252.50,14.55,1010.77,5.62,51.33
Biocon,335.80,27.94,40316.15,0.15,27.10,-85.63,3590.40,3.70,5.96
Ipca Labs.,1536.55,62.57,38982.92,0.26,245.75,43.14,2354.90,15.78,12.77
CCL Products,695.00,33.88,9280.19,0.65,73.95,21.51,738.20,21.50,12.39
Pix Transmission,2157.10,25.69,2940.13,0.32,40.53,95.89,159.06,27.89,22.64
Tinna Rubber,1309.70,41.44,2243.45,0.38,12.13,59.19,117.63,47.61,32.60
GRP,3200.10,69.15,1706.72,0.29,2.51,-46.48,131.65,15.07,15.47
Goodricke Group,300.15,,648.32,0.00,60.27,80.77,315.94,30.85,-14.85
Elgi Rubber Co,119.10,,596.69,0.00,-4.13,-240.00,98.68,-2.61,5.79
Intl. Conveyors,84.87,6.40,537.90,1.30,26.81,17.07,30.77,-28.04,23.80
Harri. Malayalam,269.00,,496.57,0.00,-5.61,-146.05,97.66,1.89,5.39
Indag Rubber,184.10,40.88,483.26,1.63,0.98,,55.57,,
Jay Shree Tea,137.41,,396.84,0.00,30.45,217.39,301.35,30.28,-7.83
Tata Consumer,925.00,66.97,91519.83,0.84,367.21,11.20,4214.45,12.87,10.65
Rubfila Intl.,73.10,17.19,396.70,1.64,6.04,-19.68,134.75,17.50,12.54
Mcleod Russel,29.40,,307.10,0.00,84.54,38.25,452.62,23.71,-7.00
Dhunseri Tea,256.25,,269.25,0.00,25.99,416.95,167.57,17.36,-19.39
Gayatri Rubbers,461.00,119.15,264.52,0.00,1.27,,13.64,26.53,22.42
Astral,1731.15,88.95,46503.36,0.22,108.70,-17.15,1370.40,0.54,23.16
Finolex Inds.,264.55,34.12,16414.72,0.95,51.44,-45.15,828.43,-6.20,10.42
Safari Inds.,2333.45,71.21,11406.32,0.12,29.66,-25.40,457.79,23.72,31.02
Time Technoplast,387.40,24.31,8791.23,0.52,99.79,39.72,1370.52,14.76,15.62
Responsive Ind,259.75,36.79,6925.16,0.04,49.28,21.17,349.52,30.25,15.16
V I P Inds.,466.55,,6625.64,0.43,-33.05,-375.83,544.26,-0.34,8.48
Jai Corp,299.00,80.14,5335.64,0.17,17.11,47.76,135.37,14.84,3.85
Shaily Engineer.,1134.35,71.09,5202.98,0.09,21.92,102.40,192.00,21.85,14.12
Prince Pipes,442.15,37.13,4888.46,0.23,14.71,-74.19,622.07,-5.24,14.71
Jain Irrigation,64.65,104.69,4376.00,0.00,-13.18,-220.12,1191.97,-12.48,5.82
Supreme Inds.,4543.25,52.90,57711.48,0.66,206.60,-15.05,2272.95,-1.55,28.56
SJS Enterprises,1159.15,44.57,3626.85,0.17,27.71,69.38,105.55,21.15,18.83
Kingfa Science,2898.90,26.16,3510.70,0.34,37.26,25.88,418.33,19.24,30.06
Nilkamal Ltd,1873.85,24.18,2795.78,1.07,32.62,30.07,821.76,5.95,11.24
Apollo Pipes,482.95,47.01,1997.15,0.21,3.95,,250.44,,
Power Grid Corpn,312.10,18.48,290271.85,3.60,3793.02,0.31,11277.76,0.09,13.21
Adani Green,1490.30,183.12,236068.36,0.00,515.00,-15.03,3055.00,37.61,9.81
Adani Power,549.10,16.69,211784.52,0.00,3297.52,-49.99,13338.88,2.68,32.25
Tata Power Co.,404.65,34.06,129299.41,0.49,1093.08,14.18,15697.67,-0.26,11.13
JSW Energy,732.00,65.55,127936.65,0.27,876.76,0.36,3237.66,-0.67,8.59
Adani Energy Sol,879.70,71.21,105676.83,0.00,773.39,144.66,6183.70,68.32,9.00
NTPC Green,,263.99,91000.00,,175.30,,1082.29,7.34,7.60
NHPC Ltd,78.38,26.43,78732.98,2.42,1069.28,-41.20,3051.93,4.12,7.67
Torrent Power,1559.00,33.40,74928.16,1.03,495.72,-8.53,7175.81,3.09,14.77
NLC India,232.30,17.55,32211.57,1.29,982.41,-15.94,3657.27,22.83,6.54
NTPC,372.50,16.36,361200.81,2.08,5380.25,14.30,44696.30,-0.64,10.47
CESC,174.96,16.43,23192.18,2.57,373.00,1.44,4700.00,8.00,11.60
Reliance Power,35.93,,14432.98,0.00,2878.15,17.87,1759.81,-13.64,1.43
Inox Wind Energy,10676.50,224.94,12862.59,0.00,84.45,158.74,733.01,97.36,4.16
JP Power Ven.,16.69,6.97,11438.42,0.00,182.66,53.26,1226.41,-9.14,13.97
Vedant Fashions,1321.35,79.67,32097.26,0.64,66.90,37.32,267.95,22.74,30.74
K P R Mill Ltd,919.95,38.87,31445.18,0.54,205.00,1.57,1480.02,-2.05,20.62
Gokaldas Exports,840.00,46.16,6003.18,0.00,28.16,18.77,929.00,85.71,10.76
Pearl Global Ind,1001.65,22.99,4593.51,0.87,55.63,52.01,1201.92,25.12,21.39
Kitex Garments,608.40,41.23,4045.86,0.25,36.73,176.79,215.88,61.15,6.92
Kewal Kir.Cloth.,603.90,23.16,3721.54,0.33,64.47,29.46,253.17,-3.55,31.03
Dollar Industrie,499.60,31.58,2833.54,0.60,26.43,3.44,445.83,8.17,13.86
Rupa & Co,243.75,25.28,1938.41,1.23,18.44,-10.18,297.10,-1.65,10.13
Bella Casa Fashi,502.00,49.71,672.05,0.35,4.61,77.99,106.81,66.42,14.25
Iris Clothings,66.33,46.09,541.06,0.00,3.84,4.92,41.26,28.30,19.80
Page Industries,45377.25,81.47,50595.63,1.21,195.26,29.93,1246.27,10.77,45.02
Ceenik Exports,1241.50,48.08,415.90,1.21,4.28,3192.31,0.00,,11.07
DLF,762.70,52.42,188792.02,0.66,1381.22,122.08,1975.02,46.55,5.74
Macrotech Devel.,1222.15,56.68,121774.70,0.18,423.10,109.46,2625.70,50.07,11.06
Godrej Propert.,2595.30,52.06,72165.46,0.00,333.79,399.69,1093.23,218.73,5.74
Prestige Estates,1547.20,97.85,66642.58,0.12,234.60,-77.41,2304.40,3.04,14.86
Phoenix Mills,1397.95,47.28,49976.74,0.18,292.16,-13.66,917.97,4.91,12.44
Brigade Enterpr.,1095.55,58.48,26756.01,0.18,115.08,2.29,1072.16,-21.54,12.66
Anant Raj,674.90,66.62,23074.21,0.11,105.65,75.67,512.85,54.34,8.56
SignatureGlobal,1302.95,337.66,18307.84,0.00,4.16,120.62,749.29,660.47,1.94
Sobha,1534.05,283.22,15367.72,0.20,26.09,74.52,933.59,25.95,7.12
Raymond,1504.70,23.31,10017.35,0.66,59.01,1.12,1044.74,122.25,30.93
Oberoi Realty,1980.30,31.01,72004.15,0.40,589.44,29.05,1319.89,8.42,15.24
Keystone Realtor,724.75,60.26,9133.10,0.00,65.55,1471.94,533.07,-13.75,6.58
Ganesh Housing,1047.65,17.99,8736.05,1.05,158.48,84.26,237.22,45.22,45.01
Valor Estate,160.31,24.98,8632.14,0.00,-111.23,-113.97,79.05,16.22,22.73
Puravankara,343.40,117.68,8143.39,1.83,-17.06,-49.82,495.54,34.54,9.89
Vesuvius India,5395.50,41.86,10952.87,0.24,68.46,13.57,444.16,7.45,26.09
Avenue Super.,3823.85,92.62,248830.56,0.00,659.44,5.79,14444.50,14.42,19.41
Trent,6463.00,168.97,229751.55,0.05,335.06,46.92,4156.67,39.37,23.79
Aditya Bir. Fas.,288.70,,30924.42,0.00,-214.70,-14.91,3643.86,12.94,0.25
Brainbees Solut.,519.05,,26948.25,0.00,-62.86,50.76,1904.92,26.41,-4.00
Redtape,826.35,72.51,11420.31,0.00,25.07,-9.63,415.80,28.05,29.27
Medplus Health,704.25,84.07,8419.11,0.00,38.70,166.16,1576.17,11.90,6.66
V-Mart Retail,3663.70,,7249.34,0.00,-56.51,11.87,660.97,20.30,0.54
Ethos Ltd,2947.20,79.63,7214.88,0.00,21.25,14.31,297.13,26.32,14.91
Shoppers Stop,625.35,344.67,6879.52,0.00,-20.59,-370.45,1114.87,7.29,11.84
Reliance Industr,1267.60,25.26,1715363.12,0.39,19323.00,-4.78,231535.00,-0.15,9.61
Electronics Mart,173.43,36.38,6672.70,0.00,24.55,-34.32,1386.10,5.55,12.74
Entero Healthcar,1381.45,84.09,6008.45,0.00,26.04,360.43,1300.69,30.55,6.71
Aditya Vision,457.45,61.75,5885.69,0.20,12.21,26.79,375.85,20.03,21.75
Cartrade Tech,1183.60,60.27,5598.44,0.00,30.73,100.87,154.21,28.50,4.20
V2 Retail,1151.80,96.44,3984.00,0.00,-2.51,55.81,380.01,64.28,10.85
Landmark Cars,619.95,80.56,2562.31,0.24,0.34,-104.12,907.27,17.72,12.24
GE Shipping Co,1112.10,5.61,15877.14,2.59,575.57,-3.21,1354.40,10.20,18.51
JSW Steel,939.05,44.73,229640.35,0.78,404.00,-76.10,39684.00,-10.99,13.30
Tata Steel,137.98,56.51,172247.71,2.61,758.84,210.32,53904.71,-3.19,7.02
Jindal Steel,877.40,17.69,89502.53,0.23,860.47,-38.00,11213.31,-8.46,13.16
Tube Investments,3440.50,82.92,66545.90,0.10,299.17,-21.66,4924.55,14.37,26.28
Jindal Stain.,694.55,23.36,57191.65,0.43,609.42,-11.23,9776.83,-0.21,22.23
S A I L,111.84,14.63,46195.79,1.79,897.15,-44.34,24675.20,-16.95,8.10
APL Apollo Tubes,1470.50,70.01,40809.99,0.37,53.81,-73.48,4773.91,3.10,25.18
Ratnamani Metals,3519.40,46.59,24668.18,0.40,99.35,-39.38,971.33,-14.13,27.72
Shyam Metalics,812.80,27.14,22687.84,0.55,215.68,-55.29,3634.02,23.58,10.79
Mazagon Dock,3926.10,30.80,79185.51,0.70,585.08,75.76,2756.83,50.84,44.19
Jindal Saw,295.00,10.01,18865.49,0.68,475.31,33.60,5571.92,1.93,21.38
Welspun Corp,678.30,16.19,17795.16,0.74,282.96,-24.16,3301.83,-18.66,20.19
Jai Balaji Inds.,941.25,19.75,17173.86,0.00,153.16,-24.01,1556.57,0.64,63.56
Sarda Energy,428.30,25.23,15092.49,0.23,203.49,38.93,1158.66,15.71,15.28
NMDC Steel,43.86,,12853.64,0.00,-595.37,-354.13,1522.35,448.77,-8.69
Godawari Power,185.45,13.90,12406.14,0.54,159.39,-38.21,1267.57,-1.82,29.19
ICICI Securities,843.65,13.32,27420.52,3.44,529.04,24.88,1706.65,36.64,19.74
Angel One,2695.65,18.47,24309.34,1.29,423.37,39.06,1514.71,44.55,38.70
Nuvama Wealth,6727.60,28.82,24067.34,2.15,257.31,77.50,1051.35,42.99,16.54
Prudent Corp.,2992.75,70.41,12391.98,0.07,51.52,69.36,286.08,50.54,43.29
IIFL Securities,308.00,13.28,9524.19,0.97,205.34,90.52,645.37,27.30,34.56
Share India Sec.,275.15,13.11,6004.31,0.65,124.27,10.19,452.76,23.58,41.80
Monarch Networth,407.80,20.89,3199.64,0.12,43.98,18.68,104.04,33.78,51.84
Geojit Fin. Ser.,114.62,17.01,3198.19,1.31,57.42,54.10,218.46,51.77,18.79
5Paisa Capital,479.40,24.87,1496.74,0.00,21.89,14.97,100.79,4.01,12.89
Wealth First Por,1395.20,28.21,1486.59,0.57,15.20,48.58,19.47,43.58,56.85
Motil.Oswal.Fin.,900.90,15.93,53925.56,0.39,1121.80,110.86,2837.83,71.49,20.69
SMC Global Sec.,135.92,6.59,1423.08,1.77,45.60,14.39,450.83,15.76,17.99
Indo Thai Sec.,1066.00,61.30,1066.00,0.15,4.53,4.38,9.32,9.65,28.22
Arihant Capital,99.36,12.46,1034.46,0.50,19.94,35.83,76.38,36.47,28.97
Adit.Birla Money,155.31,11.76,877.64,0.00,26.69,123.91,125.66,30.39,12.61
Balrampur Chini,539.40,25.19,10882.35,0.56,67.18,-59.59,1297.95,-15.69,13.46
Sh.Renuka Sugar,40.08,,8530.99,0.00,-23.10,89.12,2566.20,0.43,10.15
Triven.Engg.Ind.,377.50,26.64,8263.40,0.93,-22.42,-165.96,1490.95,5.83,14.77
Bannari Amm.Sug.,3436.40,32.99,4309.14,0.36,34.27,-29.79,473.73,-21.06,11.82
Bajaj Hindusthan,30.91,,3948.32,0.00,-75.63,38.76,1159.67,2.33,0.80
Dalmia Bharat,413.60,12.08,3348.09,1.21,66.18,20.55,926.39,26.58,9.84
DCM Shriram Inds,184.72,13.18,1606.92,1.08,22.91,11.16,533.08,-8.16,16.09
Godavari Bioref.,313.05,129.30,1602.06,0.00,-26.11,,522.53,,7.40
Dwarikesh Sugar,61.71,,1143.50,0.00,-24.00,-333.92,246.06,-44.77,13.72
Dhampur Sugar,173.52,15.82,1134.61,0.00,-13.42,-349.91,421.10,-8.31,11.33
EID Parry,781.50,18.87,13876.87,0.51,591.66,-32.42,9330.35,2.99,20.29
Avadh Sugar,562.25,13.00,1125.54,1.78,0.83,-97.13,632.02,-20.75,12.93
Uttam Sug.Mills,291.65,10.33,1112.35,0.86,6.43,-79.24,453.82,-1.35,17.85
Zuari Industries,328.65,19.01,978.76,0.30,-14.77,113.02,237.29,-11.67,3.71
Magadh Sugar,652.55,8.96,919.55,1.53,5.37,-64.39,323.85,11.98,14.56
ITI,291.52,,28011.78,0.00,-70.11,44.99,1016.20,312.30,-8.43
Tejas Networks,1267.75,47.76,21711.56,0.00,275.18,2277.06,2811.26,610.00,3.68
HFCL,126.89,48.74,18306.08,0.16,73.33,5.63,1093.61,-1.61,13.30
GTL Infra.,2.01,,2574.21,0.00,-214.05,-26.26,336.38,-4.10,
NELCO,886.35,96.73,2022.65,0.25,4.10,-27.94,82.55,7.70,23.37
Bharti Airtel,1550.50,65.39,927313.71,0.52,4153.40,119.37,41473.30,11.96,13.13
Bharti Hexacom,1421.80,75.66,71090.00,0.28,253.10,194.62,2097.60,20.66,13.98
Vodafone Idea,7.34,,51159.67,0.00,-7175.90,17.88,10932.20,2.01,-3.61
Tata Comm,1749.90,60.98,49872.15,0.95,227.27,-2.32,5767.35,18.37,17.55
Tata Tele. Mah.,67.61,,13217.28,0.00,-330.39,-6.50,343.50,19.76,47.91
Indus Towers,317.75,11.35,85631.62,0.00,2223.50,71.74,7465.30,4.67,22.08
Railtel Corpn.,372.20,42.39,11945.33,0.77,72.64,8.14,843.49,40.78,20.25
Nazara Technolo.,912.05,83.98,6980.98,0.00,16.24,-1.86,318.94,7.30,5.53
Grasim Inds,2523.95,36.23,169698.35,0.40,1100.16,-65.08,33562.85,11.06,9.30
Trident,31.78,50.25,16195.30,1.13,83.32,-7.78,1712.94,-4.71,10.43
Vardhman Textile,454.10,16.49,13131.43,0.88,197.30,46.57,2502.42,4.38,8.73
Welspun Living,149.61,20.95,14539.23,0.07,202.40,2.18,2873.09,14.51,16.10
Raymond Lifestyl,2111.65,26.20,12864.94,0.00,42.18,-34.70,1708.26,-5.27,
Alok Industries,20.63,,10243.29,0.00,-262.10,-49.92,885.66,-35.46,-4.40
Arvind Ltd,343.10,31.00,8979.97,1.09,62.77,-24.53,2188.31,13.87,13.08
Garware Tech.,3952.05,34.80,7846.07,0.08,65.89,25.77,420.59,28.11,23.07
Ganesha Ecosphe.,2338.50,70.57,5927.39,0.13,27.11,868.21,386.81,38.92,8.03
Go Fashion (I),1090.80,68.72,5891.30,0.00,20.63,2.94,208.53,10.42,15.66
Indo Count Inds.,340.15,21.78,6736.82,0.65,81.54,-28.59,1035.85,2.67,18.30
Jindal Worldwide,280.60,66.51,5626.60,0.07,17.34,35.89,570.81,45.68,9.83
Lux Industries,1851.30,34.97,5567.17,0.11,51.60,42.56,677.45,5.97,10.98
Bombay Dyeing,206.07,,4256.06,0.58,392.88,75.93,380.63,-13.61,0.97
LS Industries,49.43,,4195.71,0.00,-0.50,-177.78,0.01,-90.91,-4.67
Adani Enterp.,2826.80,57.80,326263.81,0.05,1989.19,577.60,22608.07,15.66,9.87
Aegis Logistics,805.05,48.40,28257.26,0.81,152.02,-0.80,1750.42,41.75,14.74
Cello World,806.80,52.75,17821.00,0.19,86.78,2.06,490.06,0.22,36.28
Redington,193.37,12.98,15117.17,3.21,282.88,-6.78,24895.56,12.04,19.46
Honasa Consumer,371.55,159.87,12068.84,0.00,-14.92,-139.53,417.48,-9.28,17.10
MMTC,75.35,53.36,11302.50,0.00,48.05,-58.86,1.56,100.74,9.23
Arvind Fashions.,555.00,86.26,7393.76,0.23,45.03,24.03,1273.18,8.49,13.98
PDS,504.25,46.72,7106.20,0.94,93.17,10.46,3306.29,34.25,17.47
Refex Industries,493.15,53.88,5952.85,0.02,31.06,44.18,527.65,49.81,26.39
